name,experiment,overrides,device,batch_size,image_size,total_params_m,trainable_params_m,flops_g,macs_g,operations_backend,peak_cuda_memory_mb,warmup_iters,latency_iters,avg_forward_ms
resnet50_resnet50_gffloodnet_concat,resnet50_resnet50_gffloodnet,model.fusion.fusion_type=concat model.alignment_enabled=false model.alignment_target_weight=0.0,cuda,1,256,268.514,268.514,284.923,142.461,thop,1528.710,5,20,10.570
resnet50_resnet50_gffloodnet_gated,resnet50_resnet50_gffloodnet,model.fusion.fusion_type=gated model.alignment_enabled=false model.alignment_target_weight=0.0,cuda,1,256,141.497,141.497,105.731,52.866,thop,702.350,5,20,8.542
resnet50_resnet50_gffloodnet_xattn_no_align,resnet50_resnet50_gffloodnet,model.fusion.fusion_type=xattn model.fusion.xattn_align_bias=false model.alignment_enabled=false model.alignment_target_weight=0.0,cuda,1,256,147.079,147.079,101.973,50.986,thop,732.771,5,20,8.754
resnet50_resnet50_s1s2water_concat,resnet50_resnet50_s1s2water,model.fusion.fusion_type=concat model.alignment_enabled=false model.alignment_target_weight=0.0,cuda,1,256,268.517,268.517,285.026,142.513,thop,1528.972,5,20,11.628
resnet50_resnet50_s1s2water_gated,resnet50_resnet50_s1s2water,model.fusion.fusion_type=gated model.alignment_enabled=false model.alignment_target_weight=0.0,cuda,1,256,141.500,141.500,105.834,52.917,thop,702.611,5,20,8.122
resnet50_resnet50_s1s2water_xattn_no_align,resnet50_resnet50_s1s2water,model.fusion.fusion_type=xattn model.fusion.xattn_align_bias=false model.alignment_enabled=false model.alignment_target_weight=0.0,cuda,1,256,147.082,147.082,102.076,51.038,thop,733.032,5,20,8.952
resnet50_resnet50_cauflood_concat,resnet50_resnet50_cauflood,model.fusion.fusion_type=concat +model.alignment_enabled=false +model.alignment_target_weight=0.0,cuda,1,256,268.514,268.514,284.923,142.461,thop,1528.710,5,20,10.789
resnet50_resnet50_cauflood_gated,resnet50_resnet50_cauflood,model.fusion.fusion_type=gated +model.alignment_enabled=false +model.alignment_target_weight=0.0,cuda,1,256,141.497,141.497,105.731,52.866,thop,702.350,5,20,7.432
resnet50_resnet50_cauflood_xattn_no_align,resnet50_resnet50_cauflood,model.fusion.fusion_type=xattn +model.fusion.xattn_align_bias=false +model.alignment_enabled=false +model.alignment_target_weight=0.0,cuda,1,256,147.079,147.079,101.973,50.986,thop,732.771,5,20,8.928
resnet50_resnet50_gffloodnet_maxattn_full,resnet50_resnet50_gffloodnet,model.fusion.fusion_type=xattn model.fusion.xattn_align_bias=true model.alignment_enabled=true,cuda,1,256,147.079,147.079,101.973,50.986,thop,732.771,5,20,8.285
resnet50_resnet50_s1s2water_maxattn_full,resnet50_resnet50_s1s2water,model.fusion.fusion_type=xattn model.fusion.xattn_align_bias=true model.alignment_enabled=true,cuda,1,256,147.082,147.082,102.076,51.038,thop,733.032,5,20,8.258
