name	seed	job_id	overrides
jag26_s1s2ctrl_inputconcat_off_s123	123	499358	data.add_dem=false data.add_slope=false model.encoder.optical_channels=6 model.encoder.sar_channels=0
jag26_s1s2ctrl_dualadd_off_s123	123	499359	data.add_dem=false data.add_slope=false model.encoder.optical_channels=4 model.encoder.sar_channels=2 model.fusion.fusion_type=add model.alignment_enabled=false model.alignment_target_weight=0.0
jag26_s1s2ctrl_dualconcat_off_s123	123	499360	data.add_dem=false data.add_slope=false model.encoder.optical_channels=4 model.encoder.sar_channels=2 model.fusion.fusion_type=concat model.alignment_enabled=false model.alignment_target_weight=0.0
jag26_s1s2ctrl_stdcross_off_s123	123	499361	data.add_dem=false data.add_slope=false model.encoder.optical_channels=4 model.encoder.sar_channels=2 model.fusion.fusion_type=xattn +model.fusion.xattn_components=spatial +model.fusion.xattn_attention_type=standard model.fusion.xattn_align_bias=false model.alignment_enabled=false model.alignment_target_weight=0.0
jag26_s1s2ctrl_manoalign_off_s123	123	499362	data.add_dem=false data.add_slope=false model.encoder.optical_channels=4 model.encoder.sar_channels=2 model.fusion.fusion_type=xattn +model.fusion.xattn_components=spatial+channel +model.fusion.xattn_attention_type=ma +model.fusion.xattn_affinity_order=opt_sar model.fusion.xattn_align_bias=false model.alignment_enabled=false model.alignment_target_weight=0.0
jag26_s1s2ctrl_inputconcat_off_s2026	2026	499363	data.add_dem=false data.add_slope=false model.encoder.optical_channels=6 model.encoder.sar_channels=0
jag26_s1s2ctrl_dualadd_off_s2026	2026	499364	data.add_dem=false data.add_slope=false model.encoder.optical_channels=4 model.encoder.sar_channels=2 model.fusion.fusion_type=add model.alignment_enabled=false model.alignment_target_weight=0.0
jag26_s1s2ctrl_dualconcat_off_s2026	2026	499365	data.add_dem=false data.add_slope=false model.encoder.optical_channels=4 model.encoder.sar_channels=2 model.fusion.fusion_type=concat model.alignment_enabled=false model.alignment_target_weight=0.0
jag26_s1s2ctrl_stdcross_off_s2026	2026	499366	data.add_dem=false data.add_slope=false model.encoder.optical_channels=4 model.encoder.sar_channels=2 model.fusion.fusion_type=xattn +model.fusion.xattn_components=spatial +model.fusion.xattn_attention_type=standard model.fusion.xattn_align_bias=false model.alignment_enabled=false model.alignment_target_weight=0.0
jag26_s1s2ctrl_manoalign_off_s2026	2026	499367	data.add_dem=false data.add_slope=false model.encoder.optical_channels=4 model.encoder.sar_channels=2 model.fusion.fusion_type=xattn +model.fusion.xattn_components=spatial+channel +model.fusion.xattn_attention_type=ma +model.fusion.xattn_affinity_order=opt_sar model.fusion.xattn_align_bias=false model.alignment_enabled=false model.alignment_target_weight=0.0
